date_created,Adjusted_Household_Attack_rate,Adjusted_Non_Household_Attack_rate,nhh_2-16_attack_rate
10/08/2020,0.277943749,0.141280285,0.1
24/08/2020,0.280317583,0.16151409,0.1
07/09/2020,0.351978788,0.134170405,0.1
21/09/2020,0.389926218,0.188504272,0.1
05/10/2020,0.415158318,0.192391999,0.1
19/10/2020,0.479127417,0.26609493,0.1
02/11/2020,0.44953089,0.160026159,0.1
16/11/2020,0.45889037,0.145078917,0.1
30/11/2020,0.447705476,0.122833781,0.1
14/12/2020,0.436678143,0.129807367,0.1
28/12/2020,0.544706363,0.375879294,0.1
11/01/2021,0.515240177,0.298654327,0.1
25/01/2021,0.528556477,0.272607437,0.1
08/02/2021,0.528895265,0.242302724,0.1
22/02/2021,0.602209062,0.234797789,0.1
08/03/2021,0.601530624,0.219145537,0.1
22/03/2021,0.542924092,0.183228204,0.1
05/04/2021,0.563400025,0.161613363,0.1
19/04/2021,0.538754217,0.133172042,0.1
03/05/2021,0.538754217,0.133172042,0.1
